property_type,price,size,location,rooms,floor,title,seller_type,size_num,price_per_m2
2-комнатная квартира,30000000,68.5 м²,"Нура р-н, Коргалжынское шоссе 27а — Айтматова, Коргалжинское шоссе",2,11/11,2-комнатная квартира · 68.5 м² · 11/11 этаж,Other,68.5,437956.20437956206
2-комнатная квартира,45000000,50 м²,"Наурызбайский р-н, мкр Каргалы, Кенесары хана 54",2,4/10,2-комнатная квартира · 50 м² · 4/10 этаж,Other,50.0,900000.0
3-комнатная квартира,18500000,92 м²,39-й мкр 8,3,5/6,3-комнатная квартира · 92 м² · 5/6 этаж,Other,92.0,201086.95652173914
4-комнатная квартира,50000000,150 м²,17-й мкр 29,4,6/9,4-комнатная квартира · 150 м² · 6/9 этаж,Other,150.0,333333.3333333333
2-комнатная квартира,16000000,74 м²,41-й мкр 15,2,6/7,2-комнатная квартира · 74 м² · 6/7 этаж,Other,74.0,216216.2162162162
2-комнатная квартира,22000000,50.6 м²,"Казыбек би р-н, мкр Юго-Восток, сатыбалдина 7",2,7/9,2-комнатная квартира · 50.6 м² · 7/9 этаж,Other,50.6,434782.60869565216
2-комнатная квартира,30900000,55 м²,"Нура р-н, Култегин 11 — Сыганак",2,1/10,2-комнатная квартира · 55 м² · 1/10 этаж,Other,55.0,561818.1818181818
4-комнатная квартира,162000000,143.3 м²,"Бостандыкский р-н, Абиша Кекилбайулы — Розыбакиева/Левитана",4,24/25,4-комнатная квартира · 143.3 м² · 24/25 этаж,Other,143.3,1130495.4640614095
1-комнатная квартира,14000000,31 м²,"Сарыарка р-н, Кутпанова 4",1,2/5,1-комнатная квартира · 31 м² · 2/5 этаж,Other,31.0,451612.9032258064
1-комнатная квартира,11482800,41.01 м²,Сарыарка 14а,1,2/5,1-комнатная квартира · 41.01 м² · 2/5 этаж,Other,41.01,280000.0
